derived_ambassador_id,ambassador_id,dob,mean_age_at_join,total_number_of_campaigns,total_quantity_of_items,number_of_orders,successful_number_of_campaigns,success_rate,items_per_order
ambassador_1,e28e3282-66b7-4c95-a11d-a162523f3509,1998-04-27,19.571428571428573,7.0,62.0,13.0,4.0,0.5714285714285714,4.769230769230769
ambassador_2,3e16ac5b-30f2-4344-8ea6-eeb1bdd831a2,1988-12-28,29.0,4.0,55.0,13.0,4.0,1.0,4.230769230769231
ambassador_3,3ea84194-cc33-49cc-9f96-1bf04179f015,1994-01-26,24.0,4.0,52.0,11.0,4.0,1.0,4.7272727272727275
ambassador_4,8761814a-a221-4bf7-834c-27174bfd0e59,1986-02-01,32.0,7.0,46.0,10.0,5.0,0.7142857142857143,4.6
ambassador_5,66107164-aa7a-438c-9365-748dc7ba33ad,1988-10-01,29.0,4.0,45.0,10.0,4.0,1.0,4.5
ambassador_6,3db5442a-c36b-4bf9-ad83-34cde0892287,1998-03-09,20.0,4.0,40.0,8.0,4.0,1.0,5.0
ambassador_7,f3fb8221-9287-4eed-9109-5f9540081749,1990-12-25,27.0,5.0,40.0,9.0,4.0,0.8,4.444444444444445
ambassador_8,93bf352b-7f48-4303-8de9-ba8e85ee1259,1990-11-21,27.0,4.0,39.0,12.0,4.0,1.0,3.25
ambassador_9,e089a355-469d-40ee-9e30-d7528e781c79,1996-10-30,21.0,4.0,39.0,9.0,3.0,0.75,4.333333333333333
ambassador_10,cf6226ee-f851-448e-8066-3d02e586d116,1990-09-14,27.25,4.0,37.0,9.0,4.0,1.0,4.111111111111111
ambassador_11,0ba7cacc-e405-4fe3-aca4-39111ae17424,1998-12-05,19.0,5.0,36.0,8.0,5.0,1.0,4.5
ambassador_12,f9484e3c-b6cc-4012-82ac-665f6327f01e,1995-12-25,22.0,4.0,34.0,8.0,2.0,0.5,4.25
ambassador_13,83f0f2af-cba8-49bf-854a-f331913e3823,1995-08-29,22.166666666666668,6.0,33.0,9.0,4.0,0.6666666666666666,3.6666666666666665
ambassador_14,ec7f2bba-7b1f-43c6-9b05-e623670ca150,1997-11-20,20.0,3.0,33.0,7.0,3.0,1.0,4.714285714285714
ambassador_15,9cf7891a-a26c-476e-9c52-930645df029e,1991-12-25,26.0,3.0,31.0,7.0,2.0,0.6666666666666666,4.428571428571429
ambassador_16,2389453e-d60e-4bde-b22d-5615c8bbc927,1994-04-17,23.8,5.0,31.0,8.0,4.0,0.8,3.875
ambassador_17,a91dd40d-8e37-49c4-8088-fa7ee35a8743,1992-03-01,25.333333333333332,3.0,31.0,6.0,3.0,1.0,5.166666666666667
ambassador_18,328221c4-324c-42e3-aac3-1f17abe664eb,1986-08-15,31.333333333333332,6.0,31.0,7.0,4.0,0.6666666666666666,4.428571428571429
ambassador_19,798d9157-4f1d-4f1f-954f-5c40429d3fb7,1991-09-15,26.333333333333332,3.0,30.0,6.0,2.0,0.6666666666666666,5.0
ambassador_20,f9cc6e38-0dc6-4722-a874-90ef2ce6c18e,1994-08-26,23.0,3.0,30.0,7.0,2.0,0.6666666666666666,4.285714285714286
ambassador_21,d006359a-22e7-414c-84dc-3c53149c4179,1997-08-06,20.0,5.0,29.0,7.0,3.0,0.6,4.142857142857143
ambassador_22,b0612964-d14f-4863-97fa-f995d35b85a4,1998-05-28,20.0,4.0,29.0,7.0,4.0,1.0,4.142857142857143
ambassador_23,3d8b80e9-d4f4-47a2-b3dd-9181a0e3b0ba,1994-10-29,23.0,1.0,29.0,5.0,1.0,1.0,5.8
ambassador_24,78de02dd-9219-47ab-b354-8d8e09293d8f,1985-12-23,32.0,4.0,28.0,8.0,3.0,0.75,3.5
ambassador_25,ef1348de-d67c-4cc1-843e-3fff29e1bf09,1992-11-29,25.0,3.0,28.0,5.0,3.0,1.0,5.6
ambassador_26,26f51715-0de5-4bb2-b487-977f5d2fbeb2,1997-09-13,20.0,3.0,28.0,7.0,3.0,1.0,4.0
ambassador_27,2620d0a8-2bdf-4ef9-89ca-e622c3841265,1988-06-08,29.8,5.0,27.0,7.0,3.0,0.6,3.857142857142857
ambassador_28,8e917a7a-04af-401a-9af7-0261c42f3843,1998-09-29,19.0,4.0,27.0,7.0,3.0,0.75,3.857142857142857
ambassador_29,6edc890c-113b-48d7-ac19-aa9cb7546494,1989-06-25,28.0,3.0,27.0,6.0,3.0,1.0,4.5
ambassador_30,089ca2bf-078c-44f3-8908-30231f6ba70e,1993-02-21,24.666666666666668,3.0,26.0,6.0,2.0,0.6666666666666666,4.333333333333333
ambassador_31,21ba1524-9dca-439a-8630-b240825609fc,1998-10-07,19.142857142857142,7.0,26.0,6.0,3.0,0.42857142857142855,4.333333333333333
ambassador_32,dfe7981b-342c-4aaa-bc50-341b71433192,1991-09-02,26.0,5.0,25.0,8.0,3.0,0.6,3.125
ambassador_33,7ee40187-99fa-41d4-aee6-443037ea6708,1990-12-09,27.0,4.0,25.0,5.0,3.0,0.75,5.0
ambassador_34,5522917f-da5e-4998-82a9-2195c10e9986,1990-10-09,27.0,5.0,24.0,5.0,3.0,0.6,4.8
ambassador_35,d09888ff-c78f-46b9-b5ce-b4fc4230e221,1991-06-29,26.5,4.0,23.0,6.0,3.0,0.75,3.8333333333333335
ambassador_36,a520801c-0e13-4944-99b2-c816891281b5,1999-11-09,18.0,5.0,23.0,8.0,4.0,0.8,2.875
ambassador_37,44a72491-100b-4b16-9cc5-2b20a0b62ecf,1985-02-22,32.666666666666664,3.0,22.0,5.0,2.0,0.6666666666666666,4.4
ambassador_38,45f62819-6d56-4158-a42e-26326b4cf6e0,1992-03-17,25.6,5.0,21.0,6.0,4.0,0.8,3.5
ambassador_39,a9b95eb2-014e-437d-b1f3-a711ea1ed943,1995-04-30,22.666666666666668,3.0,21.0,5.0,2.0,0.6666666666666666,4.2
ambassador_40,484e0764-d69d-4846-a1d2-b8d9f301d80e,1988-05-24,30.0,1.0,21.0,5.0,1.0,1.0,4.2
ambassador_41,d734d110-2452-4c75-8be1-46646c750f3c,1999-01-19,19.0,3.0,21.0,5.0,2.0,0.6666666666666666,4.2
ambassador_42,3d18ac0a-cb2a-4c3f-92c9-54f6df04620d,1985-01-22,33.0,2.0,20.0,5.0,2.0,1.0,4.0
ambassador_43,150c1ebb-a109-49ca-84fb-f90bae963928,1985-08-22,32.0,3.0,20.0,4.0,1.0,0.3333333333333333,5.0
ambassador_44,fd166d28-f0b5-4bb7-9105-b9d0ee99a70d,1986-03-14,32.0,2.0,20.0,4.0,2.0,1.0,5.0
ambassador_45,ec96eb70-0dfe-4c8d-94ac-244d494dd112,1991-02-23,27.0,3.0,20.0,4.0,2.0,0.6666666666666666,5.0
ambassador_46,b35b3113-817d-4e8d-b394-fa5faa49708b,1995-12-05,22.0,6.0,20.0,5.0,3.0,0.5,4.0
ambassador_47,73d1f34c-4c4d-4645-90b7-af3c81ccd831,1990-11-17,27.0,2.0,19.0,5.0,2.0,1.0,3.8
ambassador_48,5d4b0a84-8ff4-4374-abc1-9c85ca6b7069,1989-04-27,28.0,1.0,19.0,4.0,1.0,1.0,4.75
ambassador_49,b0c57283-55d7-48f1-9cd0-6a33ea76e90d,1985-03-01,32.5,2.0,19.0,5.0,2.0,1.0,3.8
ambassador_50,068cc116-7497-40d7-a097-9c14118d982c,1997-12-22,20.0,5.0,17.0,6.0,3.0,0.6,2.8333333333333335
ambassador_51,6f3ed55a-09ab-4a71-a1ba-609f24258154,1997-02-24,21.0,3.0,17.0,5.0,2.0,0.6666666666666666,3.4
ambassador_52,1ef29f8a-a566-4e92-82e0-174fd0154cfc,1992-05-28,25.666666666666668,3.0,17.0,3.0,2.0,0.6666666666666666,5.666666666666667
ambassador_53,6b0b1411-10a7-4e34-aaeb-5c945aff716b,1986-07-06,31.75,4.0,16.0,6.0,3.0,0.75,2.6666666666666665
ambassador_54,24bf4b53-9041-4610-b7f7-7ffa494b93ef,1989-12-25,28.0,1.0,16.0,3.0,1.0,1.0,5.333333333333333
ambassador_55,ca6925c3-aed1-4679-a289-6637ef960710,1998-05-27,19.333333333333332,3.0,16.0,5.0,3.0,1.0,3.2
ambassador_56,30c825e7-bc26-4c43-b19f-af81bde855f9,1996-12-19,21.0,4.0,16.0,5.0,3.0,0.75,3.2
ambassador_57,e4dbade0-c829-4ed5-90f3-7fdd9f630d42,1998-11-15,19.0,2.0,16.0,4.0,1.0,0.5,4.0
ambassador_58,25ee7c65-6363-4e44-bcd4-8790c392cc36,1989-06-02,28.333333333333332,3.0,16.0,4.0,3.0,1.0,4.0
ambassador_59,60394982-c4c2-4c81-9dc1-3e668cc28d19,1995-09-15,22.333333333333332,3.0,15.0,3.0,2.0,0.6666666666666666,5.0
ambassador_60,ba37fadc-6116-4786-aaea-ac6cdfac83dd,1991-01-20,27.0,3.0,15.0,3.0,2.0,0.6666666666666666,5.0
ambassador_61,bb1b9413-6fbf-4cf0-badc-a04ad4e945d4,1988-08-04,29.0,1.0,15.0,3.0,1.0,1.0,5.0
ambassador_62,057695d6-c028-48f5-ba31-dbe60f15730b,1985-03-21,33.0,4.0,15.0,4.0,3.0,0.75,3.75
ambassador_63,d72872bf-0dd9-49eb-b6c6-6e1809b09dcc,1986-01-15,32.0,2.0,14.0,3.0,2.0,1.0,4.666666666666667
ambassador_64,85b57b1a-9679-46f7-8a81-86f12d4a2592,1990-03-26,28.0,2.0,14.0,3.0,2.0,1.0,4.666666666666667
ambassador_65,bc1e006a-4265-4cce-ad34-932a986b6c07,1986-09-11,31.0,3.0,14.0,4.0,3.0,1.0,3.5
ambassador_66,9b88a95f-8783-4e3a-b693-b32e4b6b6c25,1991-10-10,26.0,2.0,14.0,3.0,2.0,1.0,4.666666666666667
ambassador_67,353d0990-faef-4bdd-98af-b46d3e2901a5,1993-05-15,24.0,2.0,13.0,3.0,2.0,1.0,4.333333333333333
ambassador_68,94348fe0-0db7-4814-abe5-8ced5d0ebd07,1992-05-23,25.5,2.0,13.0,4.0,2.0,1.0,3.25
ambassador_69,f370fbf0-bb25-4b02-967b-b9f1df0528de,1997-11-01,20.0,3.0,12.0,3.0,2.0,0.6666666666666666,4.0
ambassador_70,034eef3f-ebc7-4599-8adb-1db671f3bbf0,1998-06-09,19.0,1.0,12.0,2.0,1.0,1.0,6.0
ambassador_71,1a5d0e0d-5413-4192-adcb-9946c0ed66f3,1999-01-05,18.5,2.0,12.0,4.0,1.0,0.5,3.0
ambassador_72,2d93c60d-2081-4aea-8941-86e534e28df7,1995-05-17,22.666666666666668,3.0,12.0,3.0,3.0,1.0,4.0
ambassador_73,7fa23f2e-87bd-44ea-b762-498d87cd3a47,1988-03-08,30.0,1.0,12.0,2.0,1.0,1.0,6.0
ambassador_74,49f29a92-e89b-447c-aca2-168f6cd5f054,1985-01-14,33.0,2.0,11.0,2.0,1.0,0.5,5.5
ambassador_75,c0bd361c-cab0-478c-a078-5f4f699bca18,1994-09-01,24.0,2.0,11.0,3.0,2.0,1.0,3.6666666666666665
ambassador_76,4e4d4f70-943b-4f00-a393-3fccbf15fafd,1999-11-11,18.0,2.0,10.0,3.0,1.0,0.5,3.3333333333333335
ambassador_77,cecd773d-d865-4108-83a7-dc13b05a37b2,1990-11-05,27.0,2.0,10.0,2.0,1.0,0.5,5.0
ambassador_78,9049dc25-ab81-4b02-b753-3826c36766fb,1988-09-12,29.0,4.0,10.0,4.0,2.0,0.5,2.5
